id_inventario,id_bodega,item,cantidad,costo_unitario
INV5053,BOD101,Producto 49,38.0,165.3
INV5054,BOD106,Producto 57,354.0,15.16
INV5055,BOD103,Producto 88,7.0,180.45
INV5056,BOD103,Producto 88,106.0,183.36
INV5057,BOD112,Producto 101,165.0,203.45
INV5059,BOD109,Producto 70,113.0,123.74
INV5060,BOD107,Producto 113,128.0,319.12
INV5061,BOD109,Producto 57,480.0,141.04
INV5062,BOD102,Producto 61,130.0,137.32
INV5063,BOD103,Producto 10,486.0,141.69
INV5064,BOD112,Producto 67,37.0,37.74
INV5066,BOD103,Producto 34,62.0,227.35
INV5067,BOD108,Producto 70,445.0,105.25
INV5068,BOD116,Producto 10,14.0,312.48
INV5069,BOD999,Producto 80,61.0,168.28
INV5070,BOD109,Producto 29,380.0,99.9
INV5071,BOD107,Producto 67,361.0,147.36
INV5072,BOD116,Producto 11,81.0,146.44
INV5073,BOD106,Producto 101,37.0,270.3
INV5075,BOD109,Producto 49,403.0,166.42
INV5076,BOD106,Producto 4,442.0,176.41
INV5077,BOD113,Producto 24,6.0,292.73
INV5079,BOD112,Producto 56,474.0,179.44
INV5080,BOD106,Producto 35,71.0,260.97
INV5081,BOD101,Producto 38,333.0,118.01
INV5082,BOD115,Producto 50,241.0,190.38
INV5083,BOD116,Producto 88,334.0,203.65
INV5084,BOD111,Producto 86,454.0,26.74
INV5085,BOD103,Producto 26,224.0,238.28
INV5086,BOD104,Producto 18,51.0,252.54
INV5088,BOD101,Producto 67,259.0,177.48
INV5089,BOD117,Producto 46,128.0,30.33
INV5091,BOD100,Producto 9,126.0,220.68
INV5092,BOD105,Producto 118,126.0,205.96
INV5093,BOD108,Producto 97,333.0,253.36
INV5094,BOD115,Producto 26,94.0,30.91
INV5095,BOD106,Producto 100,165.0,343.22
INV5096,BOD116,Producto 68,113.0,43.8
INV5097,BOD117,Producto 116,52.0,40.38
INV5098,BOD112,Producto 66,339.0,177.77
INV5100,BOD109,Producto 71,482.0,65.1
INV5101,BOD115,Producto 100,493.0,148.06
INV5102,BOD101,Producto 98,224.0,304.31
INV5103,BOD100,Producto 40,14.0,264.87
INV5104,BOD103,Producto 83,2.0,49.0
INV5105,BOD115,Producto 93,347.0,63.93
INV5106,BOD101,Producto 39,474.0,193.69
INV5108,BOD104,Producto 10,238.0,151.87
INV5109,BOD116,Producto 41,160.0,127.16
INV5110,BOD107,Producto 106,466.0,182.25
INV5111,BOD999,Producto 69,439.0,144.96
INV5112,BOD106,Producto 88,377.0,11.77
INV5113,BOD113,Producto 105,288.0,20.31
INV5114,BOD101,Producto 22,414.0,42.28
INV5115,BOD104,Producto 90,259.0,220.52
INV5117,BOD113,Producto 37,233.0,46.49
INV5118,BOD103,Producto 45,219.0,131.02
INV5119,BOD113,Producto 93,247.0,271.25
INV5121,BOD107,Producto 84,368.0,25.04
INV5122,BOD106,Producto 82,106.0,247.83
INV5123,BOD108,Producto 104,219.0,112.95
INV5124,BOD106,Producto 109,334.0,343.21
INV5125,BOD115,Producto 62,111.0,56.06
INV5126,BOD113,Producto 105,21.0,72.69
INV5127,BOD113,Producto 118,158.0,170.08
INV5128,BOD117,Producto 120,187.0,168.03
INV5129,BOD104,Producto 120,340.0,25.11
INV5130,BOD104,Producto 15,287.0,184.16
INV5131,BOD107,Producto 79,70.0,288.56
INV5132,BOD100,Producto 24,224.0,149.03
INV5133,BOD100,Producto 63,391.0,204.04
INV5134,BOD109,Producto 29,77.0,263.67
INV5135,BOD108,Producto 118,189.0,139.35
INV5136,BOD108,Producto 81,248.0,163.84
INV5137,BOD104,Producto 113,216.0,277.09
INV5138,BOD111,Producto 111,223.0,282.0
INV5139,BOD117,Producto 25,27.0,59.62
INV5140,BOD111,Producto 16,321.0,269.89
INV5141,BOD115,Producto 50,16.0,165.07
INV5142,BOD115,Producto 81,474.0,324.01
INV5143,BOD108,Producto 111,385.0,116.78
INV5144,BOD116,Producto 111,135.0,107.77
INV5145,BOD106,Producto 85,293.0,170.25
INV5147,BOD116,Producto 112,255.0,52.06
INV5148,BOD106,Producto 91,368.0,238.53
INV5149,BOD108,Producto 118,191.0,282.44
INV5150,BOD107,Producto 5,228.0,303.75
INV5151,BOD111,Producto 22,376.0,32.55
INV5152,BOD113,Producto 33,404.0,236.92
INV5153,BOD113,Producto 40,89.0,214.92
INV5154,BOD109,Producto 2,286.0,228.74
INV5155,BOD111,Producto 99,211.0,21.57
INV5156,BOD112,Producto 107,325.0,135.96
INV5157,BOD101,Producto 83,113.0,257.03
INV5158,BOD107,Producto 104,398.0,48.84
INV5159,BOD115,Producto 91,184.0,199.13
